Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
last_pymnt_amnt,1,"[138.11, 1684.70)",43003,0.8885284515889086,42200,803,0.0186731158291282,-0.024808933325297655,0.0005534610848977269,6.918086146887742e-05,-1.9242360270668228,23.0
last_pymnt_amnt,2,"[1684.70, inf)",2656,0.0548783007562296,2653,3,0.0011295180722891566,2.7982043460669908,0.1467167482250379,0.01401903834537312,-1.9242360270668228,179.0
last_pymnt_amnt,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.9242360270668228,24.0
last_pymnt_amnt,4,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.9242360270668228,24.0
dti,0,"(-inf, 6.15)",2859,0.059072688954089014,2815,44,0.015389996502273523,0.17189818725289063,0.0016083793084121405,0.00020080024754809238,-0.6293807330542875,12.0
dti,1,"[6.15, 8.82)",3091,0.06386627546592834,3058,33,0.010676156583629894,0.5423791056198879,0.014612942282584597,0.0018045526092897498,-0.6293807330542875,19.0
dti,2,"[8.82, 11.22)",3663,0.07568494565891153,3612,51,0.013923013923013924,0.27356156240991103,0.0049770068468060185,0.0006201931953008282,-0.6293807330542875,14.0
dti,3,"[11.22, 15.89)",9075,0.18750774825406008,8947,128,0.014104683195592287,0.26041357622533967,0.011241989679674965,0.001401291405609335,-0.6293807330542875,14.0
dti,4,"[15.89, 18.32)",5084,0.10504566304392743,5006,78,0.015342250196695516,0.1750539258994892,0.0029616694296809984,0.0003697367088969011,-0.6293807330542875,12.0
dti,5,"[18.32, 22.32)",7645,0.15796107277160212,7511,134,0.01752779594506213,0.03965437233246183,0.00024370119866066618,3.046065409032829e-05,-0.6293807330542875,10.0
dti,6,"[22.32, 25.74)",5432,0.11223604281168643,5323,109,0.020066273932253315,-0.0981852684590252,0.0011347608668080703,0.00014178815929813795,-0.6293807330542875,7.0
dti,7,"[25.74, 31.59)",6932,0.14322905905202693,6763,169,0.024379688401615696,-0.2973065767507723,0.014650962777632033,0.0018246551401739069,-0.6293807330542875,4.0
dti,8,"[31.59, inf)",4617,0.09539650398776808,4481,136,0.02945635694173706,-0.4916830903525482,0.029446868397042917,0.0036442236744654317,-0.6293807330542875,0.0
dti,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.6293807330542875,9.0
dti,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.6293807330542875,9.0
total_rev_hi_lim,0,"(-inf, 6625.00)",2809,0.05803958841274433,2723,86,0.030615877536489856,-0.531487522982387,0.021365084402007795,0.002639639635338399,-0.3472793658591798,0.0
total_rev_hi_lim,1,"[6625.00, 10825.00)",4707,0.09725608496218852,4590,117,0.0248565965583174,-0.31716835114580455,0.011435194361419572,0.0014234379557365503,-0.3472793658591798,2.0
total_rev_hi_lim,2,"[10825.00, 16910.00)",7865,0.16250671515351875,7695,170,0.02161474888747616,-0.17410211017992117,0.0053620514954487615,0.0006694111966532267,-0.3472793658591798,4.0
total_rev_hi_lim,3,"[16910.00, 22110.00)",6243,0.12899293359229722,6124,119,0.01906134871055582,-0.045782455736593786,0.00027642221266260125,3.454975924200806e-05,-0.3472793658591798,5.0
total_rev_hi_lim,4,"[22110.00, 26502.50)",4546,0.09392950121905864,4461,85,0.01869775626924769,-0.026152740764690652,6.506061132111648e-05,8.132344656198976e-06,-0.3472793658591798,5.0
total_rev_hi_lim,5,"[26502.50, 37850.00)",8203,0.1694904748130088,8068,135,0.01645739363647446,0.10375640123303365,0.0017362817013910127,0.0002169379121757034,-0.3472793658591798,6.0
total_rev_hi_lim,6,"[37850.00, 49219.00)",5015,0.10361998429687178,4946,69,0.013758723828514457,0.2855982240814634,0.007385558923708981,0.0009200700378365154,-0.3472793658591798,8.0
total_rev_hi_lim,7,"[49219.00, 80450.00)",5943,0.1227943303442291,5872,71,0.011946828201245163,0.4286409738503969,0.018466093048588785,0.0022907513863874764,-0.3472793658591798,10.0
total_rev_hi_lim,8,"[80450.00, inf)",3067,0.0633703872060829,3037,30,0.0097815454841865,0.6307983639809547,0.01886194804166188,0.002319414945623921,-0.3472793658591798,12.0
total_rev_hi_lim,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.3472793658591798,5.0
total_rev_hi_lim,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.3472793658591798,5.0
total_rec_int,0,"(-inf, 156.39)",7023,0.14510930203727426,6965,58,0.008258578954862594,0.8015801562648481,0.06478576564591979,0.007888148379485267,0.41175177563631216,0.0
total_rec_int,1,"[156.39, 288.18)",6529,0.1349022686887888,6435,94,0.014397304334507581,0.23958261835758377,0.006912462290037703,0.0008619971668863032,0.41175177563631216,7.0
total_rec_int,2,"[288.18, 453.84)",6872,0.14198933840241332,6757,115,0.016734575087310827,0.08677243578628557,0.0010255845484811034,0.00012815786445935637,0.41175177563631216,8.0
total_rec_int,3,"[453.84, 657.51)",6237,0.12886896152733585,6126,111,0.017797017797017797,0.024137366677747796,7.42140401502137e-05,9.276529827281451e-06,0.41175177563631216,9.0
total_rec_int,4,"[657.51, 946.99)",6278,0.12971610397123848,6160,118,0.01879579483912074,-0.031482287340738324,0.00013053519498636504,1.6316225563324255e-05,0.41175177563631216,10.0
